"","x"
"1","MIR6723"
"2","ISG15"
"3","MRPL20"
"4","SSU72"
"5","CDK11B"
"6","RPL22"
"7","ESPN"
"8","NOL9"
"9","PER3"
"10","PARK7"
"11","RERE"
"12","LZIC"
"13","UBE4B"
"14","PGD"
"15","APITD1"
"16","TARDBP"
"17","EXOSC10"
"18","MTOR"
"19","PLOD1"
"20","DHRS3"
"21","PRDM2"
"22","EFHD2"
"23","DNAJC16"
"24","NECAP2"
"25","SDHB"
"26","CAPZB"
"27","MINOS1"
"28","EIF4G3"
"29","RAP1GAP"
"30","CDC42"
"31","LUZP1"
"32","MDS2"
"33","RPL11"
"34","PITHD1"
"35","LYPLA2"
"36","HMGCL"
"37","PNRC2"
"38","SRSF10"
"39","STPG1"
"40","NIPAL3"
"41","SRRM1"
"42","CLIC4"
"43","SYF2"
"44","TMEM50A"
"45","TMEM57"
"46","PAQR7"
"47","STMN1"
"48","SH3BGRL3"
"49","DHDDS"
"50","ARID1A"
"51","WDTC1"
"52","WASF2"
"53","IFI6"
"54","STX12"
"55","DNAJC8"
"56","PHACTR4"
"57","SNHG3"
"58","RCC1"
"59","EPB41"
"60","NKAIN1"
"61","ZCCHC17"
"62","PEF1"
"63","TMEM39B"
"64","KPNA6"
"65","EIF3I"
"66","HDAC1"
"67","ZBTB8OS"
"68","RBBP4"
"69","S100PBP"
"70","ZMYM6NB"
"71","ZMYM6"
"72","PSMB2"
"73","AGO1"
"74","AGO3"
"75","TRAPPC3"
"76","THRAP3"
"77","MRPS15"
"78","GNL2"
"79","MTF1"
"80","INPP5B"
"81","SF3A3"
"82","UTP11L"
"83","MACF1"
"84","CAP1"
"85","PPT1"
"86","CTPS1"
"87","PPCS"
"88","YBX1"
"89","SVBP"
"90","SLC2A1"
"91","EBNA1BP2"
"92","ELOVL1"
"93","ATP6V0B"
"94","B4GALT2"
"95","SLC6A9"
"96","ERI3"
"97","RNF220"
"98","KIF2C"
"99","RPS8"
"100","PRDX1"
"101","AKR1A1"
"102","GPBP1L1"
"103","TMEM69"
"104","UQCRH"
"105","NSUN4"
"106","TAL1"
"107","BEND5"
"108","GPX7"
"109","SCP2"
"110","C1orf123"
"111","NDC1"
"112","TMEM59"
"113","MRPL37"
"114","USP24"
"115","MYSM1"
"116","NFIA"
"117","EFCAB7"
"118","PGM1"
"119","DNAJC6"
"120","LEPROT"
"121","LEPR"
"122","WDR78"
"123","MIER1"
"124","SERBP1"
"125","ZRANB2"
"126","NEGR1"
"127","TYW3"
"128","RABGGTB"
"129","PIGK"
"130","AK5"
"131","USP33"
"132","FUBP1"
"133","DNAJB4"
"134","PRKACB"
"135","RPF1"
"136","GNG5"
"137","C1orf52"
"138","ZNHIT6"
"139","LMO4"
"140","GTF2B"
"141","GBP1"
"142","GBP2"
"143","CDC7"
"144","RPAP2"
"145","SNORA66"
"146","CCDC18"
"147","RWDD3"
"148","DPYD"
"149","TRMT13"
"150","DBT"
"151","RTCA"
"152","VCAM1"
"153","EXTL2"
"154","VAV3"
"155","PRPF38B"
"156","STXBP3"
"157","GNAI3"
"158","AHCYL1"
"159","LOC440600"
"160","LAMTOR5"
"161","LRIF1"
"162","WDR77"
"163","C1orf162"
"164","RAP1A"
"165","ST7L"
"166","CAPZA1"
"167","SLC16A1"
"168","RSBN1"
"169","DCLRE1B"
"170","HIPK1"
"171","BCAS2"
"172","NRAS"
"173","CSDE1"
"174","PTGFRN"
"175","TTF2"
"176","RBM8A"
"177","PEX11B"
"178","PRKAB2"
"179","PDIA3P1"
"180","VPS45"
"181","ANP32E"
"182","MRPS21"
"183","RPRD2"
"184","CTSS"
"185","FAM63A"
"186","MLLT11"
"187","GABPB2"
"188","VPS72"
"189","ZNF687"
"190","GBAT2"
"191","SELENBP1"
"192","PSMB4"
"193","POGZ"
"194","SNX27"
"195","MRPL9"
"196","S100A11"
"197","S100A4"
"198","S100A16"
"199","S100A13"
"200","SNAPIN"
"201","GATAD2B"
"202","SLC39A1"
"203","RPS27"
"204","TPM3"
"205","C1orf43"
"206","ADAR"
"207","PMVK"
"208","PYGO2"
"209","KRTCAP2"
"210","MTX1"
"211","GBA"
"212","FDPS"
"213","YY1AP1"
"214","DAP3"
"215","GON4L"
"216","SYT11"
"217","SSR2"
"218","CCT3"
"219","IQGAP3"
"220","APOA1BP"
"221","GPATCH4"
"222","MRPL24"
"223","FCRL5"
"224","IFI16"
"225","ACKR1"
"226","TAGLN2"
"227","PIGM"
"228","PEA15"
"229","NCSTN"
"230","CD84"
"231","CD48"
"232","SLAMF7"
"233","F11R"
"234","PFDN2"
"235","UFC1"
"236","SDHC"
"237","DUSP12"
"238","ATF6"
"239","UHMK1"
"240","NUF2"
"241","ALDH9A1"
"242","TMCO1"
"243","UCK2"
"244","POU2F1"
"245","TIPRL"
"246","ANKRD36BP1"
"247","SLC19A2"
"248","SELL"
"249","SCYL3"
"250","PRRC2C"
"251","PIGC"
"252","TNFSF4"
"253","PRDX6"
"254","GAS5"
"255","SNORD80"
"256","MRPS14"
"257","FAM20B"
"258","ABL2"
"259","TOR1AIP2"
"260","TOR1AIP1"
"261","XPR1"
"262","MR1"
"263","GLUL"
"264","DHX9"
"265","SMG7"
"266","TRMT1L"
"267","TPR"
"268","UCHL5"
"269","TROVE2"
"270","CFH"
"271","ZBTB41"
"272","TMEM9"
"273","CSRP1"
"274","TIMM17A"
"275","UBE2T"
"276","SNRPE"
"277","PPP1R15B"
"278","PIK3C2B"
"279","RBBP5"
"280","ELK4"
"281","NUCKS1"
"282","EIF2D"
"283","DYRK3"
"284","YOD1"
"285","CD46"
"286","DIEXF"
"287","INTS7"
"288","CENPF"
"289","RRP15"
"290","LYPLAL1"
"291","EPRS"
"292","BROX"
"293","FAM177B"
"294","DEGS1"
"295","WDR26"
"296","SRP9"
"297","PYCR2"
"298","ZNF678"
"299","ARF1"
"300","IBA57"
"301","ARV1"
"302","NTPCR"
"303","TARBP1"
"304","IRF2BP2"
"305","TOMM20"
"306","RBM34"
"307","GGPS1"
"308","TBCE"
"309","B3GALNT2"
"310","EXO1"
"311","ZBTB18"
"312","ADSS"
"313","SMYD3"
"314","TFB2M"
"315","CNST"
"316","AHCTF1"
"317","ZNF124"
"318","PGBD2"
"319","LARP4B"
"320","GTPBP4"
"321","AKR1C2"
"322","AKR1C3"
"323","NET1"
"324","UPF2"
"325","CDC123"
"326","MCM10"
"327","PRPF18"
"328","FRMD4A"
"329","CDNF"
"330","HSPA14"
"331","DCLRE1C"
"332","RSU1"
"333","TRDMT1"
"334","STAM"
"335","NSUN6"
"336","PIP4K2A"
"337","ANKRD26"
"338","YME1L1"
"339","MASTL"
"340","WAC-AS1"
"341","WAC"
"342","MTPAP"
"343","BMS1"
"344","CXCL12"
"345","ZNF22"
"346","MARCH8"
"347","PARG"
"348","NCOA4"
"349","TIMM23"
"350","CSTF2T"
"351","ZWINT"
"352","CISD1"
"353","BICC1"
"354","ADO"
"355","NRBF2"
"356","JMJD1C"
"357","REEP3"
"358","HNRNPH3"
"359","DNA2"
"360","CCAR1"
"361","DDX50"
"362","DDX21"
"363","KIAA1279"
"364","SUPV3L1"
"365","SAR1A"
"366","PPA1"
"367","EIF4EBP2"
"368","MICU1"
"369","ECD"
"370","MRPS16"
"371","ANXA7"
"372","PPP3CB"
"373","PPP3CB-AS1"
"374","BMS1P4"
"375","CHCHD1"
"376","VCL"
"377","RPS24"
"378","EIF5AL1"
"379","FAM35A"
"380","NUTM2A-AS1"
"381","ATAD1"
"382","PTEN"
"383","IFIT3"
"384","KIF20B"
"385","RPP30"
"386","PCGF5"
"387","TNKS2"
"388","EXOC6"
"389","NOC3L"
"390","SORBS1"
"391","ALDH18A1"
"392","CCNJ"
"393","LCOR"
"394","C10orf12"
"395","ARHGAP19"
"396","RRP12"
"397","R3HCC1L"
"398","DNMBP"
"399","BLOC1S2"
"400","NDUFB8"
"401","MRPL43"
"402","PPRC1"
"403","NOLC1"
"404","ACTR1A"
"405","USMG5"
"406","PDCD11"
"407","SMC3"
"408","SHOC2"
"409","GPAM"
"410","ZDHHC6"
"411","CASP7"
"412","FAM160B1"
"413","TRUB1"
"414","HSPA12A"
"415","SHTN1"
"416","FAM204A"
"417","CACUL1"
"418","EIF3A"
"419","TIAL1"
"420","WDR11"
"421","IKZF5"
"422","BUB3"
"423","BCCIP"
"424","GLRX3"
"425","CFAP46"
"426","BET1L"
"427","IFITM3"
"428","LOC143666"
"429","TALDO1"
"430","RPLP2"
"431","SNORA52"
"432","OR7E12P"
"433","TRIM21"
"434","HBB"
"435","HBD"
"436","HBG1"
"437","HBG2"
"438","TRIM5"
